content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,target_decline,staleness_score,expected_ctr,ctr_gap,ctr_defect_score,baseline_score,decay_risk_score,action_label,reason_code
content_900ec63917ba,client_19581e27de,10.0,0.01,LOW,0.0,keyword article,informational,,,,,1974,4,32,32,32,1,0,4,88,17,648,1,21,800,2,7,389,365+,6,22,0-30,,,0.2,10.5,3.13,12.5,0.0,moderate,striking,stable,-19.0,0,0.6897163120567376,0.08695652173913043,0.0,0.0,0.3448581560283688,0.48665435935425594,MONITOR_ONLY,STABLE_PERFORMANCE
content_52d8292d6a03,client_19581e27de,10.0,0.0,LOW,0.0,keyword article,informational,,,,,3153,9,33,33,31,3,0,3,88,16,1027,0,21,1195,3,8,362,181-365,5,104,91-180,,,0.29,6.5,9.09,9.09,0.0,good,page_1,stable,-14.1,0,0.6418439716312057,0.13333333333333333,0.0,0.0,0.32092198581560283,0.48665435935425594,MONITOR_ONLY,STABLE_PERFORMANCE
content_50d44d74355b,client_19581e27de,10.0,0.0,LOW,0.0,keyword article,informational,,,,,2348,11,34,31,29,1,0,5,88,18,750,2,18,754,5,12,417,365+,6,22,0-30,,,0.47,7.7,3.23,14.71,0.0,moderate,page_1,stable,-0.5,0,0.7393617021276596,0.1149425287356322,0.0,0.0,0.3696808510638298,0.48665435935425594,MONITOR_ONLY,STABLE_PERFORMANCE
content_f8acd89eb9ef,client_e629fa6598,50.0,0.01,LOW,0.0,keyword article,transactional,,,,unknown,489,0,4,4,4,0,0,0,37,4,2,0,2,12,0,1,490,365+,6,22,0-30,,,0.0,22.3,0.0,0.0,0.0,moderate,page_3_5,down,-83.3,1,0.8687943262411347,0.04291845493562232,0.04291845493562232,0.04291845493562232,0.4558563905883785,0.4866524476720405,MONITOR_ONLY,STABLE_PERFORMANCE
content_4466cd3c0ca5,client_e629fa6598,20.0,0.0,LOW,0.0,keyword article,transactional,,,,unknown,233,0,1,1,1,0,0,0,69,1,39,0,0,27,0,0,494,365+,6,22,0-30,,,0.0,22.1,0.0,0.0,0.0,low,page_3_5,up,44.4,0,0.875886524822695,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.45958828405636915,0.4866524476720405,MONITOR_ONLY,STABLE_PERFORMANCE
content_e6dff2507e2c,client_e629fa6598,10.0,0.02,LOW,0.0,keyword article,commercial,,,,unknown,708,0,3,3,3,0,0,1,63,3,69,0,3,32,0,0,494,365+,6,20,0-30,,,0.0,22.1,0.0,33.33,0.0,moderate,page_3_5,up,115.6,0,0.875886524822695,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.45958828405636915,0.4866524476720405,MONITOR_ONLY,STABLE_PERFORMANCE
content_569382ff9950,client_e629fa6598,110.0,0.32,LOW,1.32,keyword article,transactional,,,,unknown,152,0,2,1,1,1,0,1,35,1,9,0,1,7,0,0,490,365+,6,22,0-30,,,0.0,22.5,100.0,50.0,0.0,low,page_3_5,up,28.6,0,0.8687943262411347,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.4556737588652482,0.4866524476720405,MONITOR_ONLY,STABLE_PERFORMANCE
content_140e1efff17e,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,transactional,,,,,44437,229,267,217,205,13,2,21,88,71,12544,72,86,13430,87,93,330,181-365,5,104,91-180,,,0.52,1.7,5.99,7.87,0.92,excellent,top_3,stable,-6.6,0,0.5851063829787234,0.37037037037037035,0.0,0.0,0.2925531914893617,0.4866370896622865,MONITOR_ONLY,STABLE_PERFORMANCE
content_adcaa6dca61e,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,transactional,,,,,67435,285,275,241,233,9,0,18,88,74,18780,94,84,22986,92,94,330,181-365,5,104,91-180,,,0.42,3.0,3.73,6.55,0.0,excellent,top_3,stable,-18.3,0,0.5851063829787234,0.25,0.0,0.0,0.2925531914893617,0.4866370896622865,MONITOR_ONLY,STABLE_PERFORMANCE
content_af796c8d8387,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,947,0,2,2,2,0,0,0,82,2,566,0,0,242,0,1,257,181-365,5,104,91-180,,,0.0,39.3,0.0,0.0,0.0,moderate,page_3_5,up,133.9,0,0.45567375886524825,0.02481389578163772,0.02481389578163772,0.02481389578163772,0.240243827323443,0.48662485011997475,MONITOR_ONLY,STABLE_PERFORMANCE
content_670b08a87508,client_4e07408562,20.0,0.15,LOW,0.04,keyword article,informational,,,,gpt-4o-mini,6898,20,24,21,19,2,0,3,88,18,1980,8,6,1823,5,8,487,365+,6,104,91-180,,,0.29,6.6,9.52,12.5,0.0,good,page_1,stable,8.6,0,0.8634751773049646,0.13157894736842105,0.0,0.0,0.4317375886524823,0.48660162626175335,MONITOR_ONLY,STABLE_PERFORMANCE
content_8f49713685cc,client_4e07408562,260.0,0.15,LOW,0.03,keyword article,informational,2620.0,16607.0,,gemini-3-flash-preview,2914,3,13,12,12,0,0,0,88,8,800,1,10,853,1,2,545,365+,6,14,0-30,2000-3500,15000-25000,0.1,12.3,0.0,0.0,0.0,moderate,striking,stable,-6.2,0,0.9663120567375887,0.07518796992481203,0.0,0.0,0.48315602836879434,0.4865570042707713,MONITOR_ONLY,STABLE_PERFORMANCE
content_5f72fd7c6698,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,informational,2675.0,17902.0,,gemini-3-flash-preview,2933,12,12,12,12,0,0,0,88,11,818,2,3,948,7,4,537,365+,6,25,0-30,2000-3500,15000-25000,0.41,12.2,0.0,0.0,0.0,moderate,striking,stable,-13.7,0,0.9521276595744681,0.07575757575757576,0.0,0.0,0.47606382978723405,0.4865570042707713,MONITOR_ONLY,STABLE_PERFORMANCE
content_071d4e96e3ed,client_19581e27de,880.0,0.04,LOW,3.97,keyword article,informational,,,,,30,0,4,4,4,0,0,0,17,3,22,0,3,8,0,1,463,365+,6,22,0-30,,,0.0,22.9,0.0,0.0,0.0,low,page_3_5,up,175.0,0,0.8209219858156028,0.041841004184100423,0.041841004184100423,0.041841004184100423,0.4313814949998516,0.48653186333212595,CONTENT_PRUNE,LOW_IMPRESSIONS_OLD_AGE
content_f36016fdddef,client_19581e27de,260.0,0.05,LOW,0.06,keyword article,commercial,,,,,654,0,4,4,4,0,0,0,87,3,169,0,2,174,0,2,236,181-365,5,104,91-180,,,0.0,42.8,0.0,0.0,0.0,moderate,page_3_5,stable,-2.9,0,0.41843971631205673,0.022831050228310504,0.022831050228310504,0.022831050228310504,0.22063538327018362,0.48653041031459154,MONITOR_ONLY,STABLE_PERFORMANCE
content_ff809afccaf2,client_2c624232cd,0.0,0.0,LOW,0.0,keyword article,informational,2121.0,14524.0,,gemini-3-flash-preview,1010,1,2,2,2,0,0,0,88,2,195,0,0,190,0,0,517,365+,6,11,0-30,2000-3500,8000-15000,0.1,25.5,0.0,0.0,0.0,moderate,page_3_5,stable,2.6,0,0.9166666666666666,0.03773584905660377,0.0,0.0,0.4583333333333333,0.4865248108030973,MONITOR_ONLY,STABLE_PERFORMANCE
content_0f4f808958c4,client_4e07408562,90.0,0.02,LOW,1.44,keyword article,informational,3328.0,20768.0,,gemini-3-flash-preview,1889,20,18,15,15,1,0,1,88,14,634,11,6,643,6,5,545,365+,6,13,0-30,2000-3500,15000-25000,1.06,7.7,6.67,5.56,0.0,moderate,page_1,stable,-1.4,0,0.9663120567375887,0.1149425287356322,0.0,0.0,0.48315602836879434,0.4865047292852055,MONITOR_ONLY,STABLE_PERFORMANCE
content_73527c440731,client_19581e27de,140.0,0.6,MEDIUM,0.95,keyword article,transactional,2501.0,16528.0,,gemini-3-flash-preview,9968,10,20,18,18,0,0,1,88,12,2613,4,10,3863,5,8,362,181-365,5,20,0-30,2000-3500,15000-25000,0.1,7.1,0.0,5.0,0.0,good,page_1,down,-32.4,1,0.6418439716312057,0.1234567901234568,0.02345679012345679,0.02345679012345679,0.33265038087733123,0.4864975665080503,MONITOR_ONLY,STABLE_PERFORMANCE
content_95d1f3ddae61,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,transactional,3455.0,21007.0,,gpt-4o-mini,197,1,9,9,8,0,0,2,64,7,46,0,0,51,0,3,348,181-365,5,104,91-180,2000-3500,15000-25000,0.51,35.8,0.0,22.22,0.0,low,page_3_5,stable,-9.8,0,0.6170212765957447,0.027173913043478264,0.0,0.0,0.30851063829787234,0.48649354259635075,MONITOR_ONLY,STABLE_PERFORMANCE
content_4db66d3d418c,client_4e07408562,,,,,keyword article,informational,3102.0,20248.0,,gemini-3-flash-preview,553,0,1,1,1,0,0,0,88,1,182,0,1,156,0,0,504,365+,6,13,0-30,2000-3500,15000-25000,0.0,28.2,0.0,0.0,0.0,moderate,page_3_5,stable,16.7,0,0.8936170212765957,0.03424657534246575,0.03424657534246575,0.03424657534246575,0.46393179830953074,0.48646874224990916,MONITOR_ONLY,STABLE_PERFORMANCE
content_1fc9c8f39bfa,client_4e07408562,30.0,0.0,LOW,0.0,keyword article,commercial,2919.0,17989.0,,gemini-3-flash-preview,5917,30,34,25,22,3,0,5,88,18,2349,16,14,1671,7,5,347,181-365,5,20,0-30,2000-3500,15000-25000,0.51,16.0,12.0,14.71,0.0,good,striking,up,40.6,0,0.6152482269503546,0.058823529411764705,0.0,0.0,0.3076241134751773,0.486463904161359,MONITOR_ONLY,STABLE_PERFORMANCE
content_788fed4cefcf,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,transactional,3023.0,18962.0,,gemini-3-flash-preview,13786,91,65,62,59,2,0,6,88,41,3878,27,26,4377,33,15,420,365+,6,25,0-30,2000-3500,15000-25000,0.66,15.0,3.23,9.23,0.0,good,striking,stable,-11.4,0,0.7446808510638298,0.0625,0.0,0.0,0.3723404255319149,0.48646282546822156,MONITOR_ONLY,STABLE_PERFORMANCE
content_161c3cee3739,client_8527a891e2,6600.0,0.07,LOW,0.83,keyword article,informational,3378.0,20269.0,,gpt-4o-mini,515,0,6,5,5,0,3,2,81,4,152,0,1,67,0,4,348,181-365,5,20,0-30,2000-3500,15000-25000,0.0,40.5,0.0,33.33,60.0,moderate,page_3_5,up,126.9,0,0.6170212765957447,0.024096385542168676,0.024096385542168676,0.024096385542168676,0.32055883106895666,0.486456197031521,MONITOR_ONLY,STABLE_PERFORMANCE
content_fd40fc33802e,client_8722616204,0.0,0.0,LOW,0.0,keyword article,informational,2907.0,19833.0,google,gemini-3-flash-preview,4,0,1,1,1,0,0,0,4,1,0,0,0,3,0,0,90,31-90,3,8,0-30,2000-3500,15000-25000,0.0,15.8,0.0,0.0,0.0,low,striking,down,-100.0,1,0.1595744680851064,0.05952380952380952,0.05952380952380952,0.05952380952380952,0.10954913880445796,0.48641895312826483,MONITOR_ONLY,STABLE_PERFORMANCE
content_5fd9b6333fae,client_4e07408562,10.0,0.01,LOW,0.0,keyword article,informational,3274.0,21559.0,,gemini-3-flash-preview,7907,14,21,20,20,1,0,4,88,17,2971,3,8,2670,2,2,390,365+,6,25,0-30,2000-3500,15000-25000,0.18,7.2,5.0,19.05,0.0,good,page_1,stable,11.3,0,0.6914893617021277,0.12195121951219513,0.0,0.0,0.34574468085106386,0.48638684683800243,MONITOR_ONLY,STABLE_PERFORMANCE
content_c1e40f7d1fa5,client_4e07408562,260.0,0.0,LOW,0.0,keyword article,informational,2855.0,17101.0,,gemini-3-flash-preview,1451,9,18,16,15,2,0,2,88,11,609,7,12,491,2,4,545,365+,6,13,0-30,2000-3500,15000-25000,0.62,8.9,12.5,11.11,0.0,moderate,page_1,up,24.0,0,0.9663120567375887,0.10101010101010101,0.0,0.0,0.48315602836879434,0.4863738688286493,MONITOR_ONLY,STABLE_PERFORMANCE
content_d234215703ff,client_19581e27de,10.0,0.81,HIGH,7.14,keyword article,commercial,,,,,4208,8,27,25,25,0,0,0,88,16,1670,4,14,739,2,9,417,365+,6,22,0-30,,,0.19,6.2,0.0,0.0,0.0,good,page_1,up,126.0,0,0.7393617021276596,0.1388888888888889,0.0,0.0,0.3696808510638298,0.48634538017222295,MONITOR_ONLY,STABLE_PERFORMANCE
content_8b88debf6d35,client_4e07408562,30.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-4o-mini,4515,20,27,26,24,3,0,6,88,20,937,5,7,1135,4,5,390,365+,6,104,91-180,,,0.44,5.4,11.54,22.22,0.0,good,page_1,stable,-17.4,0,0.6914893617021277,0.15625,0.0,0.0,0.34574468085106386,0.48634538017222295,MONITOR_ONLY,STABLE_PERFORMANCE
